#
#      UT day (days)  Temperature (c)  rms Temp (c)    d T / dt (C/days)
       3.0520833      -2.3280000       3.7252037      -20.000000
       3.0625000      -3.6030000       3.8971601       52.472727
       3.0729167      -1.2348182       5.0551594       20.400000
       3.0833333      -3.1780000       4.5461369      -91.006061
       3.0937500      -3.1307778       4.1359031      -41.100000
       3.1041667      -4.0342500       3.5522566       95.333333
       3.1145833      -1.1446667       4.2231998       42.300000
       3.1250000      -3.1530000       3.4348702      -23.920000
       3.1354167      -1.6430000       3.3860744       12.000000
       3.1458333      -2.9030000       3.3341309      -76.251429
       3.1562500      -3.2315714       4.0400967       9.6000000
       3.1666667      -2.7030000       4.0664020      -21.188571
       3.1770833      -3.6730000       5.5002954       23.400000
       3.1875000      -2.2155000       5.6578485      -3.1542857
       3.1979167      -3.7387143       4.9991428       6.1200000
       3.2083333      -2.0880000       5.3343254       10.834286
       3.2187500      -3.5130000       4.7195103      -68.400000
       3.2291667      -3.5130000       4.5208652      -63.786667
       3.2395833      -4.8418889       3.8410430      -15.420000
       3.2500000      -3.8342500       3.9684414       133.06667
       3.2604167      -2.0696667       3.9466019       139.10000
       3.2708333     -0.93633333       4.1547162       90.971429
       3.2812500     -0.17442857       6.0390298      -132.11429
       3.2916667      -3.6887143       5.8943274      -118.97143
       3.3020833      -2.6530000       8.1213453       50.194286
       3.3125000      -2.6430000       8.5152363      -18.600000
       3.3229167      -3.0405000       7.0151240      -51.360000
       3.3333333      -3.7130000       7.2969514      -17.933333
       3.3437500      -3.4141111       7.0910056      -9.6533333
       3.3541667      -3.9141111       5.4441929      -11.866667
       3.3645833      -3.6613333       5.6441375      -21.066667
       3.3750000      -4.3530000       4.3890489      -88.160000
       3.3854167      -5.4980000       4.7770545     -0.68571429
       3.3958333      -4.3672857       3.0785162       163.76000
       3.4062500      -2.0863333       2.9157618       138.28571
       3.4166667      -1.4863333       6.7341419       218.08000
       3.4270833       2.4570000       5.0569754       200.26667
       3.4375000       2.6858889       7.0755202       231.12000
       3.4479167       7.2720000       6.7996140       238.37333
       3.4583333       7.6520000       7.3403546       147.00000
       3.4687500       10.334500       9.4544853       63.141333
       3.4791667       8.9674444       5.8110250      -164.60000
       3.4895833       6.9053333       3.4475233       6.0004848
       3.5000000       9.0924545       5.6051519       188.93333
       3.5104167       10.841444       4.4976691       38.400000
       3.5208333       9.8924545       3.1494011      -75.633333
       3.5312500       9.2657500       3.7327640       65.918182
       3.5416667       11.265750       4.7368568       27.500000
       3.5520833       9.8386667       6.7077878       1.5000000
       3.5625000       11.297000       4.1618505       89.200000
       3.5729167       11.697000       6.6131813       59.314286
