#      
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       2.6354167     0.067200000   0.00070710678     -0.70680000
       2.6458333      -999.00000      -999.00000      -999.00000
       2.6562500     0.031100000     0.035213918     -0.57760000
       2.6666667     0.031100000     0.035213918       1.3488000
       2.6770833     0.059200000   0.00098994949       1.7496000
       2.6875000      -999.00000      -999.00000      -999.00000
       2.6979167     0.056150000     0.033163308    0.0030095238
       2.7083333      -999.00000      -999.00000      -999.00000
       2.7187500      -999.00000      -999.00000      -999.00000
       2.7291667      -999.00000      -999.00000      -999.00000
       2.7395833      -999.00000      -999.00000      -999.00000
       2.7500000      -999.00000      -999.00000      -999.00000
       2.7604167      -999.00000      -999.00000      -999.00000
       2.7708333     0.094500000     0.037052395      0.49954286
       2.7812500      -999.00000      -999.00000      -999.00000
       2.7916667      0.10475000     0.035991735      0.84240000
       2.8020833      -999.00000      -999.00000      -999.00000
       2.8125000      0.12960000    0.0096166522       2.0496000
       2.8229167      -999.00000      -999.00000      -999.00000
       2.8333333      0.19015000     0.031466252       2.6721143
       2.8437500      -999.00000      -999.00000      -999.00000
       2.8541667      -999.00000      -999.00000      -999.00000
       2.8645833      -999.00000      -999.00000      -999.00000
       2.8750000      -999.00000      -999.00000      -999.00000
       2.8854167      -999.00000      -999.00000      -999.00000
       2.8958333      -999.00000      -999.00000      -999.00000
       2.9062500      0.32520000     0.091782460      -7.2678857
       2.9166667      -999.00000      -999.00000      -999.00000
       2.9270833      0.11950000     0.024607316      -5.0292000
       2.9375000      -999.00000      -999.00000      -999.00000
       2.9479167      0.11565000    0.0034648232      0.19080000
       2.9583333      -999.00000      -999.00000      -999.00000
       2.9687500      0.12745000    0.0094045202       1.8036000
       2.9791667      -999.00000      -999.00000      -999.00000
       2.9895833      0.19080000     0.095176573       2.4488762
       3.0000000      -999.00000      -999.00000      -999.00000
       3.0104167      -999.00000      -999.00000      -999.00000
       3.0208333      -999.00000      -999.00000      -999.00000
       3.0312500      -999.00000      -999.00000      -999.00000
       3.0416667      -999.00000      -999.00000      -999.00000
       3.0520833      -999.00000      -999.00000      -999.00000
       3.0625000      0.21830000      0.12515790       11.015010
       3.0729167      -999.00000      -999.00000      -999.00000
       3.0833333      0.51110000      0.18469629      -3.1752000
       3.0937500      -999.00000      -999.00000      -999.00000
       3.1041667     0.086000000    0.0077781746      -8.9112000
       3.1145833      -999.00000      -999.00000      -999.00000
       3.1250000      0.13980000     0.067740830       1.8717600
       3.1354167      -999.00000      -999.00000      -999.00000
       3.1458333      -999.00000      -999.00000      -999.00000
       3.1562500      -999.00000      -999.00000      -999.00000
       3.1666667      -999.00000      -999.00000      -999.00000
       3.1770833      -999.00000      -999.00000      -999.00000
       3.1875000      -999.00000      -999.00000      -999.00000
       3.1979167      -999.00000      -999.00000      -999.00000
       3.2083333     0.058900000   0.00056568542     -0.41112000
       3.2187500      -999.00000      -999.00000      -999.00000
       3.2291667     0.053250000    0.0037476659     -0.18840000
       3.2395833      -999.00000      -999.00000      -999.00000
       3.2500000     0.051050000    0.0019091883    -0.057600000
       3.2604167      -999.00000      -999.00000      -999.00000
       3.2708333     0.050850000   0.00021213203    -0.086400000
       3.2812500      -999.00000      -999.00000      -999.00000
       3.2916667     0.047450000    0.0021920310    -0.054400000
       3.3020833     0.047450000    0.0021920310  -4.4408921e-16
       3.3125000     0.047450000    0.0021920310   4.4408921e-16
       3.3229167     0.047450000    0.0021920310       0.0000000
       3.3333333     0.047450000    0.0021920310     -0.27840000
       3.3437500     0.041650000    0.0010606602     -0.44720000
       3.3541667      -999.00000      -999.00000      -999.00000
       3.3645833     0.036900000    0.0021213203     -0.18720000
       3.3750000      -999.00000      -999.00000      -999.00000
       3.3854167     0.033850000    0.0013435029     -0.17160000
       3.3958333      -999.00000      -999.00000      -999.00000
       3.4062500     0.029750000    0.0014849242     -0.15240000
       3.4166667      -999.00000      -999.00000      -999.00000
       3.4270833     0.027500000    0.0014142136    -0.085828571
       3.4375000      -999.00000      -999.00000      -999.00000
       3.4479167      -999.00000      -999.00000      -999.00000
       3.4583333      -999.00000      -999.00000      -999.00000
       3.4687500      -999.00000      -999.00000      -999.00000
       3.4791667      -999.00000      -999.00000      -999.00000
       3.4895833      -999.00000      -999.00000      -999.00000
       3.5000000     0.026900000    0.0011313708     0.070971429
       3.5104167      -999.00000      -999.00000      -999.00000
       3.5208333     0.028850000   0.00035355339      0.16200000
       3.5312500      -999.00000      -999.00000      -999.00000
       3.5416667     0.033650000    0.0045961941      0.50760000
       3.5520833      -999.00000      -999.00000      -999.00000
       3.5625000     0.050000000   0.00056568542      0.77695238
       3.5729167      -999.00000      -999.00000      -999.00000
       3.5833333      -999.00000      -999.00000      -999.00000
       3.5937500      -999.00000      -999.00000      -999.00000
       3.6041667      -999.00000      -999.00000      -999.00000
       3.6145833      -999.00000      -999.00000      -999.00000
       3.6250000      -999.00000      -999.00000      -999.00000
       3.6354167      0.10465000     0.018879751     -0.98144762
       3.6458333      -999.00000      -999.00000      -999.00000
       3.6562500     0.073900000     0.018243355      0.12840000
       3.6666667      -999.00000      -999.00000      -999.00000
       3.6770833      0.11000000     0.011879394       1.3032000
       3.6875000      -999.00000      -999.00000      -999.00000
       3.6979167      0.12820000    0.0014142136      0.46080000
       3.7083333      -999.00000      -999.00000      -999.00000
       3.7187500      0.12920000    0.0014142136    -0.043733333
       3.7291667      -999.00000      -999.00000      -999.00000
       3.7395833      -999.00000      -999.00000      -999.00000
       3.7500000      -999.00000      -999.00000      -999.00000
       3.7604167      -999.00000      -999.00000      -999.00000
       3.7708333      -999.00000      -999.00000      -999.00000
       3.7812500      -999.00000      -999.00000      -999.00000
       3.7916667      0.10260000   0.00028284271     -0.22853333
       3.8020833      -999.00000      -999.00000      -999.00000
       3.8125000     0.098650000    0.0051618795     -0.57360000
       3.8229167      -999.00000      -999.00000      -999.00000
       3.8333333     0.078700000    0.0056568542     -0.75600000
       3.8437500      -999.00000      -999.00000      -999.00000
       3.8541667     0.067150000    0.0050204581      0.37200000
       3.8645833      -999.00000      -999.00000      -999.00000
       3.8750000     0.094200000   0.00042426407      0.43280000
       3.8854167     0.094200000   0.00042426407       0.0000000
       3.8958333     0.094200000   0.00042426407       0.0000000
       3.9062500     0.094200000   0.00042426407       0.0000000
       3.9166667     0.094200000   0.00042426407       1.7400000
       3.9270833      0.13045000    0.0060104076       2.6896000
       3.9375000      -999.00000      -999.00000      -999.00000
       3.9479167      0.15355000    0.0051618795      0.85080000
       3.9583333      -999.00000      -999.00000      -999.00000
       3.9687500      0.16590000     0.010748023      0.43560000
       3.9791667      -999.00000      -999.00000      -999.00000
       3.9895833      0.17170000     0.010606602      0.65408000
       4.0000000      -999.00000      -999.00000      -999.00000
       4.0104167      -999.00000      -999.00000      -999.00000
       4.0208333      0.20975000     0.020718229      0.30440000
       4.0312500      0.20975000     0.020718229       1.1312000
       4.0416667      -999.00000      -999.00000      -999.00000
       4.0520833      -999.00000      -999.00000      -999.00000
       4.0625000      0.35115000     0.031183409      -3.0472000
       4.0729167      -999.00000      -999.00000      -999.00000
       4.0833333      0.18250000     0.012445079      -4.7388000
       4.0937500      -999.00000      -999.00000      -999.00000
       4.1041667      0.15370000     0.032526912      -1.9596000
       4.1145833      -999.00000      -999.00000      -999.00000
       4.1250000      0.10085000    0.0067175144      -1.6344000
       4.1354167      -999.00000      -999.00000      -999.00000
       4.1458333     0.085600000     0.015414928     -0.56445714
       4.1562500      -999.00000      -999.00000      -999.00000
       4.1666667      -999.00000      -999.00000      -999.00000
       4.1770833      -999.00000      -999.00000      -999.00000
       4.1875000      -999.00000      -999.00000      -999.00000
       4.1979167      -999.00000      -999.00000      -999.00000
       4.2083333      -999.00000      -999.00000      -999.00000
       4.2187500     0.087200000    0.0041012193     -0.31619048
       4.2291667      -999.00000      -999.00000      -999.00000
       4.2395833     0.078600000    0.0077781746     -0.34920000
       4.2500000      -999.00000      -999.00000      -999.00000
       4.2604167     0.072650000    0.0050204581     -0.54240000
       4.2708333      -999.00000      -999.00000      -999.00000
       4.2812500     0.056000000    0.0019798990     -0.40976000
       4.2916667      -999.00000      -999.00000      -999.00000
       4.3020833      -999.00000      -999.00000      -999.00000
       4.3125000     0.061450000   0.00091923882     0.043600000
       4.3229167     0.061450000   0.00091923882       0.0000000
       4.3333333     0.061450000   0.00091923882       0.0000000
       4.3437500     0.061450000   0.00091923882       0.0000000
       4.3541667     0.061450000   0.00091923882     -0.19200000
       4.3645833     0.057450000   0.00063639610     -0.41280000
       4.3750000     0.052850000    0.0028991378     -0.54400000
       4.3854167      -999.00000      -999.00000      -999.00000
       4.3958333     0.037250000    0.0044547727     -0.32040000
       4.4062500      -999.00000      -999.00000      -999.00000
       4.4166667     0.039500000       0.0000000    -0.022800000
       4.4270833      -999.00000      -999.00000      -999.00000
       4.4375000     0.036300000   0.00028284271     -0.10819048
       4.4479167      -999.00000      -999.00000      -999.00000
       4.4583333      -999.00000      -999.00000      -999.00000
       4.4687500      -999.00000      -999.00000      -999.00000
       4.4791667      -999.00000      -999.00000      -999.00000
       4.4895833      -999.00000      -999.00000      -999.00000
       4.5000000      -999.00000      -999.00000      -999.00000
       4.5104167     0.040000000    0.0033941125     0.087809524
       4.5208333      -999.00000      -999.00000      -999.00000
       4.5312500     0.042050000    0.0038890873      0.43680000
       4.5416667      -999.00000      -999.00000      -999.00000
       4.5520833     0.058200000     0.028849957      0.17640000
       4.5625000      -999.00000      -999.00000      -999.00000
       4.5729167     0.049400000    0.0014142136     -0.14080000
       4.5833333     0.049400000    0.0014142136     -0.90720000
       4.5937500     0.030500000     0.037193817      -1.5400000
       4.6041667      -999.00000      -999.00000      -999.00000
       4.6145833      -999.00000      -999.00000      -999.00000
       4.6250000      -999.00000      -999.00000      -999.00000
       4.6354167      -999.00000      -999.00000      -999.00000
       4.6458333      -999.00000      -999.00000      -999.00000
       4.6562500     0.037150000     0.018596908     0.015200000
       4.6666667     0.037150000     0.018596908      0.75120000
       4.6770833     0.052800000    0.0033941125       1.2968000
       4.6875000      -999.00000      -999.00000      -999.00000
       4.6979167     0.071250000   0.00091923882      0.32880000
       4.7083333      -999.00000      -999.00000      -999.00000
       4.7187500     0.066500000    0.0026870058      0.33120000
       4.7291667      -999.00000      -999.00000      -999.00000
       4.7395833     0.085050000   7.0710678e-05      0.62121905
       4.7500000      -999.00000      -999.00000      -999.00000
       4.7604167      -999.00000      -999.00000      -999.00000
       4.7708333      -999.00000      -999.00000      -999.00000
       4.7812500      -999.00000      -999.00000      -999.00000
