#      
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       2.3020833      -999.00000      -999.00000      -999.00000
       2.3125000      0.28700000     0.013293607     -0.27680000
       2.3229167      -999.00000      -999.00000      -999.00000
       2.3333333      0.32626667     0.037401381       1.1722667
       2.3437500      0.33476667     0.049209891      0.30640000
       2.3541667      0.33265000     0.046315494      0.58480000
       2.3645833      0.34695000    0.0084145707      0.98400000
       2.3750000      -999.00000      -999.00000      -999.00000
       2.3854167      0.35125000    0.0036062446      -1.3008000
       2.3958333      0.32985000     0.041224325      -1.6872000
       2.4062500      0.31610000     0.029802796     -0.74880000
       2.4166667      0.31425000     0.038537320     -0.77280000
       2.4270833      0.30000000     0.031400531     -0.87600000
       2.4375000      0.29600000     0.046669048      -1.8168000
       2.4479167      0.26215000    0.0060104076      -2.6264000
       2.4583333      -999.00000      -999.00000      -999.00000
       2.4687500      0.23340000     0.010323759       1.1400000
       2.4791667      0.25840000     0.021637468       1.2736000
       2.4895833      0.25993333     0.028779217      0.98880000
       2.5000000      0.27900000     0.030980155       1.3514667
       2.5104167      -999.00000      -999.00000      -999.00000
       2.5208333      0.28720000   0.00070710678     -0.38720000
       2.5312500      -999.00000      -999.00000      -999.00000
       2.5416667      0.26286667    0.0093575282      0.66240000
       2.5520833      0.27930000   0.00056568542     -0.29120000
       2.5625000      0.25680000    0.0042497059     -0.21120000
       2.5729167      0.27490000     0.031254120       1.1392000
       2.5833333      0.28053333     0.019465953     0.070400000
       2.5937500      -999.00000      -999.00000      -999.00000
       2.6041667      0.26240000     0.017394827      0.81680000
       2.6145833      -999.00000      -999.00000      -999.00000
       2.6250000      0.31456667     0.058811337       16.676800
       2.6354167      0.56210000      0.41012193       1.2320000
       2.6458333      0.34023333     0.065968578      -13.755200
       2.6562500      -999.00000      -999.00000      -999.00000
       2.6666667      0.36800000     0.021778889       11.803600
       2.6770833      -999.00000      -999.00000      -999.00000
       2.6875000      0.83205000      0.72075394      -16.582667
       2.6979167      0.45693333      0.24075335      -21.327200
       2.7083333      0.38773333     0.069407012       4.5872000
       2.7187500      0.55250000      0.25526057       2.8704000
       2.7291667      0.44753333      0.10107850      -11.688000
       2.7395833      0.30900000    0.0059396970      -8.9589333
       2.7500000      -999.00000      -999.00000      -999.00000
       2.7604167      0.30320000    0.0042426407       1.0338000
       2.7708333      -999.00000      -999.00000      -999.00000
       2.7812500      0.35207500     0.043065019     -0.21160000
       2.7916667      0.33655000     0.034011836       1.0140000
       2.8020833      0.37320000    0.0029698485       2.6232000
       2.8125000      -999.00000      -999.00000      -999.00000
       2.8229167      0.39055000     0.019445436      -1.2296000
       2.8333333      0.36700000     0.075660426     -0.52720000
       2.8437500      0.37956667     0.063394821     -0.80000000
       2.8541667      0.35033333     0.068609499      0.19200000
       2.8645833      0.38356667     0.087463726     -0.20160000
       2.8750000      0.34613333      0.10279360      -2.7170667
       2.8854167      -999.00000      -999.00000      -999.00000
       2.8958333      0.32605000    0.0040305087      0.19440000
       2.9062500      -999.00000      -999.00000      -999.00000
       2.9166667      0.35423333     0.085759217       1.7320000
       2.9270833      0.37425000     0.074458344    -0.076800000
       2.9375000      0.35263333     0.041257040      -1.1944000
       2.9479167      -999.00000      -999.00000      -999.00000
       2.9583333      0.36445000    0.0054447222      0.60560000
       2.9687500      -999.00000      -999.00000      -999.00000
       2.9791667      0.37786667     0.024228977      -2.9789333
       2.9895833      0.32796667     0.055220407      -2.3264000
       3.0000000      0.32940000     0.067740830       2.2840000
       3.0104167      0.37555000      0.10429825       1.0404000
       3.0208333      0.35107500     0.058773144      -2.5148000
       3.0312500      -999.00000      -999.00000      -999.00000
       3.0416667      0.29180000     0.027152900     -0.32340000
       3.0520833      -999.00000      -999.00000      -999.00000
       3.0625000      0.33760000     0.022161002       10.330667
       3.0729167      0.48756667      0.25676317     -0.75200000
       3.0833333      0.32193333     0.023131004      -6.8600000
       3.0937500      0.34465000    0.0041719300       1.3426667
       3.1041667      -999.00000      -999.00000      -999.00000
       3.1145833      0.33770000    0.0016970563     -0.15600000
       3.1250000      -999.00000      -999.00000      -999.00000
       3.1354167      0.33815000     0.022563171      0.78800000
       3.1458333      0.35035000    0.0023334524     0.039600000
       3.1562500      0.33897500     0.020433367      -1.1112000
       3.1666667      0.32720000     0.019516147     -0.62280000
       3.1770833      0.32600000     0.024890159     -0.26960000
       3.1875000      -999.00000      -999.00000      -999.00000
       3.1979167      0.31395000    0.0053033009      0.27120000
       3.2083333      0.32120000    0.0087681241      0.16400000
       3.2187500      0.31736667    0.0092931875      0.40480000
       3.2291667      0.32963333     0.015321989      0.36533333
       3.2395833      -999.00000      -999.00000      -999.00000
       3.2500000      0.30340000    0.0048083261     -0.40960000
       3.2604167      -999.00000      -999.00000      -999.00000
       3.2708333      0.31256667    0.0083739676      0.72800000
       3.2812500      0.32165000     0.012657211      0.42880000
       3.2916667      0.32150000     0.017365291      0.69840000
       3.3020833      0.33620000     0.015273506      0.64800000
       3.3125000      0.33500000     0.022135266      0.28720000
       3.3229167      -999.00000      -999.00000      -999.00000
       3.3333333      0.35775000    0.0058689863     -0.10560000
       3.3437500      -999.00000      -999.00000      -999.00000
       3.3541667      0.33060000     0.046648901      -1.5501333
       3.3645833      0.31316667     0.035072829     -0.12800000
       3.3750000      0.32793333     0.030610020      -1.6232000
       3.3854167      0.27935000    0.0051618795      -3.3573333
       3.3958333      -999.00000      -999.00000      -999.00000
       3.4062500      0.26385000    0.0034648232      0.60420000
       3.4166667      -999.00000      -999.00000      -999.00000
       3.4270833      0.30452500     0.048047364       1.2508000
       3.4375000      0.31390000     0.038890873     -0.62520000
       3.4479167      0.29150000     0.032033836     -0.90240000
       3.4583333      0.29510000     0.026162951       1.1664000
       3.4687500      0.31580000    0.0082024387       1.5768000
       3.4791667      -999.00000      -999.00000      -999.00000
       3.4895833      0.33155000    0.0026162951      -4.0264000
       3.5000000      0.26470000     0.079195959      -1.3752000
       3.5104167      0.30290000     0.065114054      0.35840000
       3.5208333      0.27216667     0.073814926      -2.7560000
       3.5312500      -999.00000      -999.00000      -999.00000
       3.5416667      0.22285000   0.00077781746      0.11280000
       3.5520833      -999.00000      -999.00000      -999.00000
       3.5625000      0.27686667     0.065326896       9.8808000
       3.5729167      0.41775000      0.25066935       3.8080000
       3.5833333      0.35620000      0.14423650      -3.1632000
       3.5937500      0.35185000      0.14714892       1.9040000
       3.6041667      0.39586667      0.32334471       6.5712000
       3.6145833      -999.00000      -999.00000      -999.00000
       3.6250000      0.63050000      0.15584633      0.14560000
       3.6354167      -999.00000      -999.00000      -999.00000
       3.6458333      0.40193333      0.11615099      -10.330133
       3.6562500      0.29766667     0.080108697      -4.8800000
       3.6666667      0.30026667      0.16331474       2.8816000
       3.6770833      0.35770000      0.12247089       5.1893333
       3.6875000      -999.00000      -999.00000      -999.00000
       3.6979167      0.45230000     0.027152900     -0.18840000
       3.7083333      -999.00000      -999.00000      -999.00000
       3.7187500      0.34985000     0.066619742       1.4808000
       3.7291667      0.39860000    0.0022627417       1.1736000
       3.7395833      0.37430000      0.14267705      -3.4896000
       3.7500000      0.32590000     0.077781746       4.7400000
       3.7604167      0.47305000     0.045608387       9.3832000
       3.7708333      -999.00000      -999.00000      -999.00000
       3.7812500      0.47090000      0.10337901      -6.6936000
       3.7916667      0.36685000     0.087469109      -6.3040000
       3.8020833      0.33956667     0.049745988      -2.5784000
       3.8125000      0.31313333     0.057405691      -2.0314667
       3.8229167      -999.00000      -999.00000      -999.00000
       3.8333333      0.29190000     0.082307229      0.81360000
       3.8437500      -999.00000      -999.00000      -999.00000
       3.8541667      0.34703333      0.10545418       2.0320000
       3.8645833      0.36500000      0.13788582     -0.10840000
       3.8750000      0.34477500     0.097187872      -2.5656000
       3.8854167      0.31155000      0.12494577     0.090800000
       3.8958333      0.34666667      0.11505344       2.0792000
       3.9062500      -999.00000      -999.00000      -999.00000
       3.9166667      0.33615000     0.010960155     -0.89440000
       3.9270833      -999.00000      -999.00000      -999.00000
       3.9375000      0.30940000     0.069139063      -2.9389333
       3.9479167      0.27016667     0.056190064      -1.1784000
       3.9583333      0.28485000     0.067528698      -1.5176000
       3.9687500      0.23855000     0.013222897      -3.6144000
       3.9791667      -999.00000      -999.00000      -999.00000
       3.9895833      0.19785000     0.016334167       3.7424000
       4.0000000      0.26650000     0.041860721       4.3008000
       4.0104167      0.28745000     0.054376511      0.54000000
