#
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       1.9479167      0.40278333      0.42527955       13.703360
       1.9583333      0.56362000      0.52212945      -2.4208000
       1.9687500      0.35235000      0.37140659      -11.639040
       1.9791667      0.32114000      0.26276865      -2.8536000
       1.9895833      0.29290000      0.23928430      -2.5739200
       2.0000000      0.26751667      0.20630193      -4.3670400
       2.0104167      0.20192000      0.10772426     -0.46820000
       2.0208333      0.25776250      0.11168966     -0.28656000
       2.0312500      0.19595000      0.14120058      -1.0296667
       2.0416667      0.23631111      0.15804187     -0.97392000
       2.0520833      0.17566000      0.14096819       1.0650667
       2.0625000      0.25850000      0.13507632      0.94128000
       2.0729167      0.19527000      0.14325164      -2.1588000
       2.0833333      0.21352500      0.12682303       1.6642971
       2.0937500      0.22994286      0.16211700       1.6272000
       2.1041667      0.24742500      0.20523662     -0.20502857
       2.1145833      0.22567143      0.17082382      -2.0452000
       2.1250000      0.20481667      0.18641195      0.14217143
       2.1354167      0.22863333      0.23463467      0.20765714
       2.1458333      0.20914286      0.16640322     -0.32480000
       2.1562500      0.22186667      0.11059415      -1.3868571
       2.1666667      0.18025000      0.13454731    -0.038600000
       2.1770833      0.22106250      0.13812755      0.65280000
       2.1875000      0.19385000      0.14867209      -1.8910000
       2.1979167      0.18166667      0.13259620      0.40400000
       2.2083333      0.20226667      0.14756114      -1.1676800
       2.2187500      0.15734000      0.13541268     -0.23720000
       2.2291667      0.19732500      0.16794552       1.0828800
       2.2395833      0.17990000      0.14246885       3.0172000
       2.2500000      0.26018333      0.14525823    -0.082560000
       2.2604167      0.17818000      0.15680981      -2.9608000
       2.2708333      0.19850000      0.13918296      -1.7002971
       2.2812500      0.14275714      0.13149597      0.33660000
       2.2916667      0.20551250      0.14156363       1.5178971
       2.3020833      0.17438000      0.12726721      0.27300000
       2.3125000      0.21120000      0.12853561      -1.0029257
       2.3229167      0.15348571      0.12317722      0.28032000
       2.3333333      0.21704000      0.15596513       1.5227657
       2.3437500      0.18521000      0.13913815      -1.6435200
       2.3541667      0.18280000      0.15712237     -0.51514667
       2.3645833      0.17447778      0.13875065     -0.29100000
       2.3750000      0.17673750      0.15849598       2.1810667
       2.3854167      0.21991667      0.15307132      0.79500000
       2.3958333      0.19330000      0.16494828     -0.35188571
       2.4062500      0.21258571      0.13289458      -3.0233143
       2.4166667      0.13031429      0.12850483      -1.7471143
       2.4270833      0.17618750      0.13440617      0.48711429
       2.4375000      0.14046250      0.13641493     -0.40100000
       2.4479167      0.16783333      0.12807966       1.9938000
       2.4583333      0.18200000      0.17741026     -0.21348571
       2.4687500      0.16338571      0.16037050      -2.1427200
       2.4791667      0.13736000      0.12710511     -0.88518095
       2.4895833      0.14494444      0.12426631      0.50232000
       2.5000000      0.14782500      0.13809767       2.1386667
       2.5104167      0.18950000      0.29336195     0.028036364
       2.5208333      0.14840909      0.15821718     -0.59640000
       2.5312500      0.17707500      0.16820976       1.6123636
       2.5416667      0.18200000      0.14466120     -0.90720000
       2.5520833      0.15817500      0.14009924      -2.2576000
       2.5625000      0.13496667      0.11587905      -2.1828000
       2.5729167      0.11270000      0.11184096      0.14354286
       2.5833333      0.13795714      0.13440531       5.6722286
       2.5937500      0.23087143      0.25320270       3.5185371
       2.6041667      0.21126000      0.16999469      0.45417143
       2.6145833      0.24033333      0.32194891       2.7290057
       2.6250000      0.26811429      0.25777423       1.2836000
       2.6354167      0.26707500      0.36235358      -2.3921524
       2.6458333      0.21827778      0.22309668      -6.1874400
       2.6562500      0.13817000      0.18063759      -1.5637333
       2.6666667      0.18570000      0.15802863       4.9238400
       2.6770833      0.24075000      0.20897513       9.3184000
       2.6875000      0.37983333      0.50781704      0.59200000
